Algoritma,Fonksiyon,Calisma Suresi,Iterasyon - 1,Iterasyon - 2,Iterasyon - 3,Iterasyon - 4,Iterasyon - 5,Iterasyon - 6,Iterasyon - 7,Iterasyon - 8,Iterasyon - 9,Iterasyon - 10,Iterasyon - 11,Iterasyon - 12,Iterasyon - 13,Iterasyon - 14,Iterasyon - 15,Iterasyon - 16,Iterasyon - 17,Iterasyon - 18,Iterasyon - 19,Iterasyon - 20,Iterasyon - 21,Iterasyon - 22,Iterasyon - 23,Iterasyon - 24,Iterasyon - 25,Iterasyon - 26,Iterasyon - 27,Iterasyon - 28,Iterasyon - 29,Iterasyon - 30,Iterasyon - 31,Iterasyon - 32,Iterasyon - 33,Iterasyon - 34,Iterasyon - 35,Iterasyon - 36,Iterasyon - 37,Iterasyon - 38,Iterasyon - 39,Iterasyon - 40,Iterasyon - 41,Iterasyon - 42,Iterasyon - 43,Iterasyon - 44,Iterasyon - 45,Iterasyon - 46,Iterasyon - 47,Iterasyon - 48,Iterasyon - 49,Iterasyon - 50
HHO,F11,2.02785325050354,477.15694157861697,64.05552859368498,2.4746314018094155,1.2033729605633805,1.0344504045719602,0.3622047753820635,0.039556613360993476,0.005347621250534007,0.0008277658052719961,0.0001233690016632094,0.00010179613195149262,9.78374581328545e-06,5.958434828867709e-07,5.958434828867709e-07,5.468672072961311e-07,3.254698206500706e-07,1.4446645579813122e-07,3.5658348163103426e-08,5.9777822691842175e-09,5.9777822691842175e-09,3.933326220284528e-09,5.785045775752451e-10,1.7086643211428054e-10,1.705990904099508e-10,1.705990904099508e-10,9.002909528987857e-11,6.05069327974661e-11,1.7505996652289468e-12,9.390266342279574e-13,6.95221658020273e-13,5.92081939032596e-13,5.395683899678261e-14,2.3869795029440866e-14,1.021405182655144e-14,7.66053886991358e-15,4.6629367034256575e-15,7.771561172376096e-16,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHO,F12,2.9723339080810547,318469376.52761686,240951.2978698617,3.1277967806700184,0.045862546690425075,0.023816432810423217,0.012027022652817979,0.003924277339756427,0.002190894216758139,0.0020969402671107257,0.0016302691074562318,0.0014164995992241856,0.0014128580840397074,0.0013160061100877998,0.0009869288791834196,0.0008603937394834568,0.00021536671503242626,0.000208880763767495,0.00018116463477448687,8.253031057219489e-05,5.59166330183062e-05,3.306830322139133e-05,2.0369761825984862e-05,5.90963025869864e-06,5.025838970348508e-06,3.008931781068213e-06,2.401068725507355e-06,2.32525021855319e-06,2.2146233365263678e-06,2.1711932817394925e-06,2.09278995192852e-06,2.010655066483948e-06,2.002381070057525e-06,1.9978120702346333e-06,1.979434268824204e-06,1.975093761843735e-06,1.9476667399286778e-06,1.9315848570368056e-06,1.9157407326232215e-06,1.9000491006105522e-06,1.8865211041955432e-06,1.8755145053933067e-06,1.8498046637876501e-06,1.8358212341970775e-06,1.8227428131741903e-06,1.8090652684484633e-06,1.7946664736472833e-06,1.7868011998635075e-06,1.7823497985092422e-06,1.776588582941516e-06,1.7743486185744176e-06
HHO,F13,2.8407998085021973,690973085.8859594,3481706.914012874,4.625940627328633,0.9981269031799794,0.596891727270339,0.14928554213493878,0.03446424230501887,0.018014569442134566,0.008381472363546269,0.0058194712912436365,0.003599266721236153,0.0009515864634039105,0.0009136408260758486,0.0007236487185854638,0.0006167831806165482,0.0005879565980947899,0.0005872962613670686,0.0005597531033741675,0.0005546877003126409,0.0005092719028678459,0.00033372063749536403,0.0002520129605023965,0.0002181060227919298,0.00017585957024320901,0.00014253575128875788,0.0001334411900240273,2.6383979780085116e-05,2.532011163743772e-05,2.2483934745577445e-05,2.129266267784886e-05,2.0158064430460488e-05,2.007912233632693e-05,1.9872386239070714e-05,1.9758759423061477e-05,1.9748974212079824e-05,1.9718373256830415e-05,1.9670237607819287e-05,1.9599061435410876e-05,1.948556361696598e-05,1.9171301068054395e-05,1.905385472325016e-05,1.8884771554354536e-05,1.871928447605865e-05,1.8618637062742708e-05,1.8465734929263734e-05,1.835831292823216e-05,1.829095060708664e-05,1.8233705238576115e-05,1.819464906680141e-05,1.816057483092289e-05
HHO,F14,21.545005559921265,11.74357334061469,6.003005828540784,2.603327098920633,0.9983883549591739,0.9980541029962404,0.9980509343371933,0.998033470086973,0.9980042974868966,0.9980039634852298,0.9980038616999152,0.9980038616999152,0.9980038470906356,0.9980038468636141,0.9980038462097118,0.9980038461778736,0.9980038461778736,0.9980038461778736,0.9980038461332563,0.9980038461058522,0.9980038460943411,0.9980038460807544,0.9980038460742334,0.9980038413560067,0.9980038413341804,0.998003840750574,0.9980038407199253,0.9980038405403725,0.9980038404819014,0.998003840470791,0.9980038403819612,0.9980038403553454,0.9980038388734223,0.9980038379120648,0.9980038378320794,0.9980038378021842,0.998003837797945,0.9980038377976677,0.9980038377972126,0.9980038377971391,0.9980038377970378,0.9980038377969186,0.9980038377968989,0.9980038377968729,0.9980038377968551,0.9980038377968352,0.9980038377968268,0.9980038377968167,0.9980038377968133,0.9980038377968091,0.9980038377945148
HHO,F15,1.8119401931762695,0.016738467746770718,0.002452198441005581,0.001908202475923699,0.0014910122847658388,0.0012532514666283956,0.0008842088722526879,0.0003565293269237996,0.0003263217323323043,0.0003102470428724654,0.00030941869561972333,0.00030913118479068897,0.0003088744366012086,0.0003088744366012086,0.00030882887924912704,0.000308762108064028,0.000308762108064028,0.0003087252796846006,0.0003087252796846006,0.0003087252796846006,0.0003087250016573335,0.0003087250016573335,0.00030872485596194463,0.0003087163312722603,0.0003087163312722603,0.00030871589544753485,0.0003087149863446458,0.00030871394140183497,0.00030871365299108537,0.00030871319247882634,0.00030871319247882634,0.0003087091395555545,0.00030870835177399403,0.0003082133834400945,0.0003080728056269533,0.00030803494036855174,0.0003080136630688922,0.0003079778296114618,0.0003079562738832635,0.0003078350166366613,0.0003077879777452158,0.0003077662082493081,0.00030775302257906597,0.00030773242611136214,0.0003077185947091012,0.00030769544104941983,0.00030768343042586596,0.0003076760990882815,0.0003076701720098656,0.00030766608956982346,0.00030766288440122375
HHO,F16,0.7795541286468506,-0.5872147527869878,-1.0298423377143753,-1.0300595938602641,-1.030098105915819,-1.0308497978028435,-1.0313828225956896,-1.0314696684903504,-1.0314718069610358,-1.031480102939258,-1.031483927029655,-1.031484084228913,-1.0314954127437685,-1.031601873429223,-1.031607406788324,-1.0316282434199642,-1.0316282434199642,-1.0316283578401546,-1.0316283578401546,-1.0316283578401546,-1.0316283976393699,-1.0316284410463372,-1.031628446099637,-1.031628446099637,-1.031628446099637,-1.031628446099637,-1.031628446099637,-1.031628446099637,-1.0316284528711255,-1.0316284532496054,-1.0316284532496054,-1.0316284532496054,-1.0316284532496054,-1.0316284532683413,-1.0316284533093685,-1.0316284533368294,-1.0316284533449784,-1.0316284533454974,-1.0316284533545634,-1.0316284533577817,-1.0316284533583389,-1.0316284533606555,-1.0316284533785938,-1.031628453406682,-1.0316284534133373,-1.0316284534242997,-1.031628453433051,-1.0316284534365736,-1.031628453445865,-1.0316284534566116,-1.0316284534622857
HHO,F17,0.9274554252624512,0.7336303000521518,0.4393802011826242,0.3979706646282235,0.3979706646282235,0.3979572464104173,0.3979572464104173,0.39795337735591296,0.39792021386274357,0.39790470125299393,0.3978979119386885,0.397891794921744,0.397891794921744,0.397891794921744,0.397891794921744,0.39788825634616565,0.39788825634616565,0.39788773780495745,0.39788769046802486,0.39788763716138753,0.39788763716138753,0.39788763716138753,0.39788763716138753,0.39788763716138753,0.3978875790731493,0.39788755061470127,0.39788747962917626,0.39788747869788743,0.39788747869788743,0.3978874774721053,0.3978874774721053,0.39788747399228974,0.39788747189733087,0.39788747189733087,0.39788747095046517,0.39788746492135907,0.39788746492135907,0.39788746492135907,0.39788746492135907,0.39788746456532387,0.39788746372378725,0.3978874631303011,0.3978874629985487,0.3978874628331326,0.39788746243770845,0.39788746206092895,0.3978874297557251,0.3978874061918152,0.39788739929694117,0.39788739389578076,0.39788739007992824
HHO,F18,1.0553948879241943,3.473167988883223,3.1835433504434287,3.0593473473182646,3.0004145135962443,3.000116122398181,3.0000973518776366,3.0000813215976003,3.0000593262334,3.0000577510397646,3.0000577510397646,3.0000577510397646,3.0000577510397646,3.0000577510397646,3.0000577510397646,3.0000577510397646,3.0000577510397646,3.0000577510397646,3.0000577510397646,3.0000577510397646,3.0000567407553467,3.000038687836162,3.000038687836162,3.000038687836162,3.0000017615738175,3.0000017615738175,3.0000006964582018,3.000000630991774,3.000000630991774,3.0000006113354987,3.000000600306008,3.0000005965431593,3.0000005965431593,3.0000005965431593,3.00000059649158,3.00000059649158,3.00000059649158,3.0000005963952487,3.0000002339998404,3.0000001748153924,3.000000068634352,3.000000047653877,3.000000008925281,3.000000004388439,3.0000000018660327,3.0000000000023626,3.000000000000055,2.999999999999955,2.9999999999999427,2.9999999999999427,2.999999999999942
HHO,F19,2.701305627822876,-3.827258311029804,-3.8436984461428745,-3.847400413951884,-3.853747879122946,-3.8537691224449118,-3.853818244632838,-3.8540212728091197,-3.8540256508968884,-3.8540256508968884,-3.854045329114115,-3.8540453623340625,-3.8540635210757976,-3.8541050399400154,-3.8541284787370875,-3.8541551299504677,-3.8541556323896904,-3.8543517046050835,-3.85461895091057,-3.8547028137860386,-3.854718282086453,-3.854742876611206,-3.8548523040771685,-3.8548523040771685,-3.854864891047497,-3.85486521643426,-3.8548680823926142,-3.8548816705327527,-3.8548954963400144,-3.854899939105799,-3.85490052432272,-3.8549006951918745,-3.854909050144033,-3.8549124992071424,-3.85491875182359,-3.8549272854434156,-3.854930139701038,-3.8549316889783736,-3.8549326614459734,-3.854933969596361,-3.8549349703024878,-3.8549370502306792,-3.8549373488843957,-3.854968498134062,-3.855366182784042,-3.860292139685994,-3.8612073075388738,-3.8619012766821808,-3.862353541842378,-3.862494911210409,-3.8626114386569994
HHO,F20,2.817389965057373,-2.730539938386935,-2.959446705458223,-2.98587475126042,-3.0194360079961426,-3.035284261098627,-3.0375391540218315,-3.0516398825046993,-3.062815869019686,-3.063224862142626,-3.063295109522974,-3.0633047695737328,-3.0633217224532605,-3.0633889230163187,-3.0635701220134854,-3.063611048525979,-3.0636251159857855,-3.063657320172236,-3.06371479110986,-3.063856640393114,-3.063921852313272,-3.0639229748888352,-3.063935383286606,-3.0639821483830385,-3.064012355626055,-3.064107641849158,-3.064342113630092,-3.0756588688044864,-3.1575087586396573,-3.1717493087213287,-3.1729813803019686,-3.173218667962178,-3.1734294104878145,-3.1739365011467173,-3.173947866450689,-3.173969447494808,-3.174501929815954,-3.1761693499490398,-3.1774370371895757,-3.178957031148061,-3.180053419732721,-3.1817181382792543,-3.183160653127239,-3.1846921381913647,-3.186310819769863,-3.187741283533821,-3.189102521178688,-3.1901028706627077,-3.1906584640724605,-3.1909223693140922,-3.1924886798369765
